instruction,model_output,parsed_title,title_in_dataset,satisfied_by_returned,dataset_has_any_matching,hallucinated,constraints,claims,mentioned_ingredients
Suggest a balanced meal with moderate calories and good protein.,"Baked Chicken Fingers - 174.8 calories, 16.3g protein, 9.9g fat, 0.1g carbs.",Baked Chicken Fingers,True,True,True,False,{'balanced': True},"{'calories': 174.8, 'protein': 16.3, 'total_fat': 9.9, 'carbs': 0.1}",[]
Suggest a ingredients recipe under 7 calories.,"Sour Cream and Chive Muffins - 7.3 calories, 0.6g protein, ready in 55 minutes.",Sour Cream and Chive Muffins,False,False,True,True,{'calories_max': 7.0},"{'calories': 7.3, 'protein': 0.6, 'duration': 55.0}",[]
Recommend a quick recipe that takes less than 72 minutes.,"Fruit Salad With Orange-Ginger Dressing - Takes 65 minutes, 114.4 calories, serves 1.",Fruit Salad With Orange,True,True,True,False,{'duration_max': 72.0},"{'calories': 114.4, 'duration': 65.0, 'serves': 1}",['orange-ginger dressing - takes 65 minutes']
Find a high-protein recipe with at least 10g protein.,"Spicy Beef and Tomato Soup - 13.2g protein, 159.7 calories, 4.9g fat, 9.9g carbs.",Spicy Beef and Tomato Soup,False,False,True,True,{'protein_min': 10.0},"{'calories': 159.7, 'protein': 13.2, 'total_fat': 4.9, 'carbs': 9.9}",[]
Suggest a ingredients recipe around 438 calories.,"Baked Chicken With Cheese - 438.3 calories, 35.8g protein, ready in 45 minutes.",Baked Chicken With Cheese,False,False,True,True,"{'calories_min': 388.0, 'calories_max': 488.0}","{'calories': 438.3, 'protein': 35.8, 'duration': 45.0}",['cheese - 438']
List a low-sodium recipe under 310mg sodium.,"Sausage and Peppers - 300.8mg sodium, 231.9 calories, 45 minutes prep time.",Sausage and Peppers,True,False,True,False,"{'calories_max': 310.0, 'sodium_max': 310.0}","{'calories': 231.9, 'sodium': 300.8, 'duration': 45.0}",[]
Find a high-protein recipe with at least 24g protein.,"Easy Cheesy Chicken Casserole - 26.9g protein, 475.2 calories, 32.1g fat, 6.1g carbs.",Easy Cheesy Chicken Casserole,True,True,True,False,{'protein_min': 24.0},"{'calories': 475.2, 'protein': 26.9, 'total_fat': 32.1, 'carbs': 6.1}",[]
List a low-sodium recipe under 51mg sodium.,"Grandma's Corn Pudding - 28.5mg sodium, 192.0 calories, 45 minutes prep time.",Grandma's Corn Pudding,True,False,True,False,"{'calories_max': 51.0, 'sodium_max': 51.0}","{'calories': 192.0, 'sodium': 28.5, 'duration': 45.0}",[]
Recommend a high-fiber recipe with at least 1g fiber.,"Mango and Coconut Sorbet - 1.3g dietary fiber, 73.8 calories, 0.2g total carbs.",Mango and Coconut Sorbet,False,False,True,True,{'fiber_min': 1.0},"{'calories': 73.8, 'fiber': 1.3}",[]
List a low-sodium recipe under 619mg sodium.,"Grapefruit Salad - 592.2mg sodium, 117.9 calories, 30 minutes prep time.",Grapefruit Salad,True,False,True,False,"{'calories_max': 619.0, 'sodium_max': 619.0}","{'calories': 117.9, 'sodium': 592.2, 'duration': 30.0}",[]
Suggest a balanced meal with moderate calories and good protein.,"Tuna Salad - 172.6 calories, 11.7g protein, 8.5g fat, 8.2g carbs.",Tuna Salad,True,True,True,False,{'balanced': True},"{'calories': 172.6, 'protein': 11.7, 'total_fat': 8.5, 'carbs': 8.2}",[]
Recommend a quick recipe that takes less than 65 minutes.,"Sesame Seed Chicken - Takes 60 minutes, 395.9 calories, serves 4.",Sesame Seed Chicken,True,True,True,False,{'duration_max': 65.0},"{'calories': 395.9, 'duration': 60.0, 'serves': 4}",[]
