instruction,model_output,parsed_title,title_in_dataset,matched_by,satisfied_by_returned,dataset_has_any_matching,hallucinated,constraints,claims,mentioned_ingredients,corrected_output,correction_type,correction_reason
List a low-sodium recipe under 306mg sodium.,"Tuna Salad - 303.4mg sodium, 274.6 calories, 20 minutes prep time.",Tuna Salad,True,exact,False,True,False,"{'calories_max': 306.0, 'sodium_max': 306.0}","{'calories': 274.6, 'sodium': 303.4, 'duration': 20.0}",[],"Tuna Salad - 170 calories, 20.3g protein, 444mg sodium, ready in 5 minutes, serves 2. Ingredients: {'': [('solid white tuna packed in water, drained', '1 time(s) (6 ounce) can '), ('mayonnaise', '2  time(s) tablespoons '), ('dijon mustard', '0.5 time(s) teaspoon '), ('grated carrots', '2  time(s) tablespoons '), ('salt & freshly ground black pepper', ' time(s) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Suggest a ingredients recipe around 507 calories.,"Honey Glazed Chicken - 507.4 calories, 41.9g protein, ready in 25 minutes.",Honey Glazed Chicken,True,exact,False,True,False,"{'calories_min': 457.0, 'calories_max': 557.0}","{'calories': 507.4, 'protein': 41.9, 'duration': 25.0}",[],"Honey Glazed Chicken - 738 calories, 55.2g protein, 1883mg sodium, ready in 240 minutes, serves 6. Ingredients: {'': [('soy sauce', '0.5 time(s) cup '), ('onions, finely chopped', '2  time(s) tablespoons '), ('garlic cloves, minced', '3  time(s) '), ('vegetable oil', '1  time(s) tablespoon '), ('fresh gingerroot, grated', '0.5 time(s) teaspoon '), ('chickens, whole', '4 -5  time(s) lbs roasting '), ('honey', '0.25 time(s) cup '), ('soy sauce', '2  time(s) tablespoons ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Find a high-protein recipe with at least 24g protein.,"Peanut Butter and Banana Oatmeal - 25.2g protein, 417.3 calories, 12.1g fat, 62.0g carbs.",Peanut Butter and Banana Oatmeal,True,fuzzy,False,True,False,{'protein_min': 24.0},"{'calories': 417.3, 'protein': 25.2, 'carbs': 62.0, 'total_fat': 12.1}",[],"Peanut Butter and Banana Toastie - 379 calories, 11.1g protein, 367mg sodium, ready in 13 minutes, serves 1. Ingredients: {'': [('slices bread', '2  time(s) '), ('butter', ' time(s) '), ('peanut butter', '1 1/2 time(s) tablespoons '), ('banana', '1 time(s) ')]}",fix_claims,numeric claims diverged (matched_by=fuzzy)
Suggest a ingredients recipe under 189 calories.,"Easy Peasy Baked Potatoes - 189.3 calories, 5.2g protein, ready in 60 minutes.",Easy Peasy Baked Potatoes,True,fuzzy,False,True,False,{'calories_max': 189.0},"{'calories': 189.3, 'protein': 5.2, 'duration': 60.0}",[],"Easy Cheesy Baked Potatoes - 374 calories, 14.0g protein, 730mg sodium, ready in 105 minutes, serves 30. Ingredients: {'': [('baked potatoes', '32  time(s) '), ('unsalted butter', '1  time(s) cup '), ('milk, heated', '3  time(s) cups '), ('cheese, shredded', '8  time(s) cups '), ('parmesan cheese, grated', '2  time(s) cups '), ('salt', '4  time(s) teaspoons '), ('white pepper', '2  time(s) teaspoons ')]}",fix_claims,numeric claims diverged (matched_by=fuzzy)
Suggest a balanced meal with moderate calories and good protein.,"Peanut Butter and Banana Muffins - 186.0 calories, 3.3g protein, 6.9g fat, 28.3g carbs.",Peanut Butter and Banana Muffins,True,exact,False,True,False,{'balanced': True},"{'calories': 186.0, 'protein': 3.3, 'carbs': 28.3, 'total_fat': 6.9}",[],"Peanut Butter and Banana Muffins - 179 calories, 4.5g protein, 248mg sodium, ready in 35 minutes. Ingredients: {'': [('spray', ' time(s) nonstick cooking '), ('firmly packed brown sugar', '1  time(s) cup '), ('natural-style peanut butter', '0.5 time(s) cup '), ('pureed carrots or 1/2 cup pureed $template2$', '0.5 time(s) cup '), ('mashed banana', '0.5 time(s) cup '), ('white', '1  time(s) large egg '), ('whole wheat flour', '1  time(s) cup '), ('baking powder', '1  time(s) teaspoon '), ('baking soda', '1  time(s) teaspoon '), ('salt', '0.5 time(s) teaspoon ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Suggest a balanced meal with moderate calories and good protein.,"Chicken and Broccoli Casserole - 289.2 calories, 18.8g protein, 9.5g fat, 31.6g carbs.",Chicken and Broccoli Casserole,True,exact,True,True,False,{'balanced': True},"{'calories': 289.2, 'protein': 18.8, 'carbs': 31.6, 'total_fat': 9.5}",[],"Chicken and Broccoli Casserole - 282 calories, 18.1g protein, 974mg sodium, ready in 37 minutes, serves 6. Ingredients: {'': [('package frozen broccoli, thawed', '1 time(s) (16 ounce) '), ('cooked chicken (shredded or diced)', '2  time(s) cups '), ('cream of chicken soup', '2 time(s) (10 3/4 ounce) cans '), ('mayonnaise', '0.5 time(s) cup '), ('sour cream', '0.5 time(s) cup '), ('lemon juice or 1 teaspoon $template2$', '1  time(s) teaspoon '), ('seasoned bread crumbs', '0.5 time(s) cup '), ('melted butter', '1  time(s) tablespoon ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Recommend a quick recipe that takes less than 11 minutes.,"Egg and Bacon Muffins - Takes 10 minutes, 176.7 calories, serves 1.",Egg and Bacon Muffins,True,substring,False,True,False,{'duration_max': 11.0},"{'calories': 176.7, 'duration': 10.0, 'serves': 1.0}",[],"Baked Egg and Bacon Muffins - 109 calories, 10.2g protein, 275mg sodium, ready in 35 minutes, serves 5. Ingredients: {'': [('slices lean turkey bacon', '5  time(s) '), ('voskos nonfat greek yogurt', '0.25 time(s) cup '), ('whole eggs', '4  time(s) '), ('whites', '4  time(s) egg '), ('fresh ground pepper', ' time(s) '), ('mrs. dash tomato basil garlic seasoning', '1  time(s) teaspoon '), ('low-fat ricotta cheese', '5  time(s) teaspoons '), ('roma tomato, thinly sliced', '1  time(s) '), ('baby spinach leaves (approximately)', '0.75 time(s) cup '), ('pieces sara lee 100% whole wheat bread (45 cal each)', '5  time(s) '), ('additional tbs voskos nonfat greek yogurt', '4  time(s) ')]}",fix_claims,numeric claims diverged (matched_by=substring)
Recommend a high-fiber recipe with at least 24g fiber.,"Cinnamon Raisin Quick Bread - 26.7g dietary fiber, 258.9 calories, 45.6g total carbs.",Cinnamon Raisin Quick Bread,True,fuzzy,False,True,False,{'fiber_min': 24.0},"{'calories': 258.9, 'fiber': 26.7}",[],"Cinnamon Raisin Bread - 177 calories, 4.8g protein, 162mg sodium, ready in 160 minutes, serves 14. Ingredients: {'': [('raisins', '0.6666666666666666 time(s) cup '), ('milk', '1  time(s) cup '), ('milk', '2  time(s) tablespoons '), ('butter', '2 1/2 time(s) tablespoons '), ('flour, divided', '3  time(s) cups '), ('brown sugar', '0.25 time(s) cup '), ('ground cinnamon', '1  time(s) tablespoon '), ('salt', '0.75 time(s) teaspoon '), ('package dry yeast', '1 time(s) (1/4 ounce) '), ('eggs, lightly beaten', '2  time(s) ')]}",fix_claims,numeric claims diverged (matched_by=fuzzy)
List a low-sodium recipe under 486mg sodium.,"Chocolate Banana Pops - 459.3mg sodium, 95.3 calories, 15 minutes prep time.",Chocolate Banana Pops,True,exact,True,True,False,"{'calories_max': 486.0, 'sodium_max': 486.0}","{'calories': 95.3, 'sodium': 459.3, 'duration': 15.0}",[],"Chocolate Banana Pops - 314 calories, 6.4g protein, 158mg sodium, ready in 120 minutes. Ingredients: {'': [('semi-sweet chocolate chips or 16 ounces semisweet chocolate, chopped', '1 1/2 time(s) cups '), ('wooden popsicle sticks', '8 -12  time(s) '), ('bananas', '4 time(s) '), ('toffee pieces, chopped or 2/3 cup shredded coconut', '0.6666666666666666 time(s) 2/3 cup ')]}",fix_claims,numeric claims diverged (matched_by=exact)
Find a high-protein recipe with at least 7g protein.,"Chicken Fajitas - 9.8g protein, 245.0 calories, 11.2g fat, 20.6g carbs.",Chicken Fajitas,True,exact,True,True,False,{'protein_min': 7.0},"{'calories': 245.0, 'protein': 9.8, 'carbs': 20.6, 'total_fat': 11.2}",[],"Chicken Fajitas - 244 calories, 20.0g protein, 337mg sodium, ready in 30 minutes. Ingredients: {'': [('oil', '1  time(s) tablespoon '), ('thin strips', '4  time(s) boneless skinless chicken breasts, sliced into long '), ('spanish onion, sliced in rings', '1  time(s) '), ('green pepper, seeded and cut in strips', '1  time(s) '), ('red pepper, seeded and cut in strips', '1  time(s) '), ('dash salt', '1  time(s) '), ('dash pepper', '1  time(s) '), ('lemon juice, fresh or bottled', '1  time(s) tablespoon '), ('flour tortillas (7 inch)', '8 -10  time(s) '), ('grated medium cheddar or 1 cup $template2$', '1  time(s) cup ')], 'garnishes': [('sour cream', ' time(s) '), ('salsa', ' time(s) '), ('guacamole', ' time(s) ')]}",fix_claims,numeric claims diverged (matched_by=exact)
