instruction,model_output,parsed_title,title_in_dataset,satisfied_by_returned,dataset_has_any_matching,hallucinated,constraints,claims,mentioned_ingredients
List a low-sodium recipe under 306mg sodium.,"Tuna Salad - 303.4mg sodium, 274.6 calories, 20 minutes prep time.",Tuna Salad,True,False,True,False,"{'calories_max': 306.0, 'sodium_max': 306.0}","{'calories': 274.6, 'sodium': 303.4, 'duration': 20.0}",[]
Suggest a ingredients recipe around 507 calories.,"Honey Glazed Chicken - 507.4 calories, 41.9g protein, ready in 25 minutes.",Honey Glazed Chicken,True,False,True,False,"{'calories_min': 457.0, 'calories_max': 557.0}","{'calories': 507.4, 'protein': 41.9, 'duration': 25.0}",[]
Find a high-protein recipe with at least 24g protein.,"Peanut Butter and Banana Oatmeal - 25.2g protein, 417.3 calories, 12.1g fat, 62.0g carbs.",Peanut Butter and Banana Oatmeal,False,False,True,True,{'protein_min': 24.0},"{'calories': 417.3, 'protein': 25.2, 'total_fat': 12.1, 'carbs': 62.0}",[]
Suggest a ingredients recipe under 189 calories.,"Easy Peasy Baked Potatoes - 189.3 calories, 5.2g protein, ready in 60 minutes.",Easy Peasy Baked Potatoes,False,False,True,True,{'calories_max': 189.0},"{'calories': 189.3, 'protein': 5.2, 'duration': 60.0}",[]
Suggest a balanced meal with moderate calories and good protein.,"Peanut Butter and Banana Muffins - 186.0 calories, 3.3g protein, 6.9g fat, 28.3g carbs.",Peanut Butter and Banana Muffins,True,False,True,False,{'balanced': True},"{'calories': 186.0, 'protein': 3.3, 'total_fat': 6.9, 'carbs': 28.3}",[]
Suggest a balanced meal with moderate calories and good protein.,"Chicken and Broccoli Casserole - 289.2 calories, 18.8g protein, 9.5g fat, 31.6g carbs.",Chicken and Broccoli Casserole,True,True,True,False,{'balanced': True},"{'calories': 289.2, 'protein': 18.8, 'total_fat': 9.5, 'carbs': 31.6}",[]
Recommend a quick recipe that takes less than 11 minutes.,"Egg and Bacon Muffins - Takes 10 minutes, 176.7 calories, serves 1.",Egg and Bacon Muffins,True,False,True,False,{'duration_max': 11.0},"{'calories': 176.7, 'duration': 10.0, 'serves': 1}",[]
Recommend a high-fiber recipe with at least 24g fiber.,"Cinnamon Raisin Quick Bread - 26.7g dietary fiber, 258.9 calories, 45.6g total carbs.",Cinnamon Raisin Quick Bread,False,False,True,True,{'fiber_min': 24.0},"{'calories': 258.9, 'fiber': 26.7}",[]
List a low-sodium recipe under 486mg sodium.,"Chocolate Banana Pops - 459.3mg sodium, 95.3 calories, 15 minutes prep time.",Chocolate Banana Pops,True,True,True,False,"{'calories_max': 486.0, 'sodium_max': 486.0}","{'calories': 95.3, 'sodium': 459.3, 'duration': 15.0}",[]
Find a high-protein recipe with at least 7g protein.,"Chicken Fajitas - 9.8g protein, 245.0 calories, 11.2g fat, 20.6g carbs.",Chicken Fajitas,True,True,True,False,{'protein_min': 7.0},"{'calories': 245.0, 'protein': 9.8, 'total_fat': 11.2, 'carbs': 20.6}",[]
Recommend a quick recipe that takes less than 60 minutes.,"Baked Brie - Takes 50 minutes, 277.1 calories, serves 1.",Baked Brie,True,True,True,False,{'duration_max': 60.0},"{'calories': 277.1, 'duration': 50.0, 'serves': 1}",[]
Suggest a ingredients recipe under 138 calories.,"Chicken and Broccoli Casserole - 138.2 calories, 17.9g protein, ready in 50 minutes.",Chicken and Broccoli Casserole,True,False,True,False,{'calories_max': 138.0},"{'calories': 138.2, 'protein': 17.9, 'duration': 50.0}",[]
Suggest a ingredients recipe around 1390 calories.,"Bacon and Egg Pizza - 1390.4 calories, 49.7g protein, ready in 35 minutes.",Bacon and Egg Pizza,True,False,True,False,"{'calories_min': 1340.0, 'calories_max': 1440.0}","{'calories': 1390.4, 'protein': 49.7, 'duration': 35.0}",[]
Recommend a quick recipe that takes less than 30 minutes.,"Quick and Easy Baked Potatoes - Takes 20 minutes, 172.6 calories, serves 1.",Quick and Easy Baked Potatoes,False,False,True,True,{'duration_max': 30.0},"{'calories': 172.6, 'duration': 20.0, 'serves': 1}",[]
Recommend a quick recipe that takes less than 35 minutes.,"Eggnog Pound Cake - Takes 30 minutes, 395.4 calories, serves 12.",Eggnog Pound Cake,True,False,True,False,{'duration_max': 35.0},"{'calories': 395.4, 'duration': 30.0, 'serves': 12}",[]
List a low-sodium recipe under 1277mg sodium.,"Baked Chicken with Apples and Cider - 1185.4mg sodium, 267.4 calories, 40 minutes prep time.",Baked Chicken with Apples and Cider,False,False,True,True,"{'calories_max': 1277.0, 'sodium_max': 1277.0}","{'calories': 267.4, 'sodium': 1185.4, 'duration': 40.0}",['apples']
Recommend a quick recipe that takes less than 55 minutes.,"Mushroom and Swiss Cheese Strata - Takes 50 minutes, 252.2 calories, serves 4.",Mushroom and Swiss Cheese Strata,False,False,True,True,{'duration_max': 55.0},"{'calories': 252.2, 'duration': 50.0, 'serves': 4}",[]
Recommend a high-fiber recipe with at least 2g fiber.,"Chicken and Vegetable Soup - 4.1g dietary fiber, 223.1 calories, 31.4g total carbs.",Chicken and Vegetable Soup,True,True,True,False,{'fiber_min': 2.0},"{'calories': 223.1, 'fiber': 4.1}",[]
List a low-sodium recipe under 1309mg sodium.,"Rhubarb-Blueberry Crisp - 1308.7mg sodium, 457.8 calories, 75 minutes prep time.",Rhubarb,True,True,True,False,"{'calories_max': 1309.0, 'sodium_max': 1309.0}","{'calories': 457.8, 'sodium': 1308.7, 'duration': 75.0}",[]
Find a high-protein recipe with at least 35g protein.,"Italian Sausage and Peppers - 39.3g protein, 457.6 calories, 26.1g fat, 16.2g carbs.",Italian Sausage and Peppers,True,False,True,False,{'protein_min': 35.0},"{'calories': 457.6, 'protein': 39.3, 'total_fat': 26.1, 'carbs': 16.2}",[]
Suggest a ingredients recipe under 181 calories.,"Peanut Butter and Banana Sandwich - 181.3 calories, 1.6g protein, ready in 5 minutes.",Peanut Butter and Banana Sandwich,True,False,True,False,{'calories_max': 181.0},"{'calories': 181.3, 'protein': 1.6, 'duration': 5.0}",[]
List a low-sodium recipe under 690mg sodium.,"Cranberry Orange Muffins - 620.7mg sodium, 125.0 calories, 45 minutes prep time.",Cranberry Orange Muffins,True,False,True,False,"{'calories_max': 690.0, 'sodium_max': 690.0}","{'calories': 125.0, 'sodium': 620.7, 'duration': 45.0}",[]
Recommend a high-fiber recipe with at least 3g fiber.,"Baked Spaghetti - 4.0g dietary fiber, 395.0 calories, 41.0g total carbs.",Baked Spaghetti,True,False,True,False,{'fiber_min': 3.0},"{'calories': 395.0, 'fiber': 4.0}",[]
Suggest a ingredients recipe under 336 calories.,"Grandma's Cinnamon Rolls - 336.7 calories, 7.0g protein, ready in 90 minutes.",Grandma's Cinnamon Rolls,True,True,True,False,{'calories_max': 336.0},"{'calories': 336.7, 'protein': 7.0, 'duration': 90.0}",[]
List a low-sodium recipe under 209mg sodium.,"Easy Chocolate Mousse - 200.6mg sodium, 100.4 calories, 10 minutes prep time.",Easy Chocolate Mousse,True,False,True,False,"{'calories_max': 209.0, 'sodium_max': 209.0}","{'calories': 100.4, 'sodium': 200.6, 'duration': 10.0}",[]
Recommend a high-fiber recipe with at least 18g fiber.,"Baked Beans - 22.0g dietary fiber, 111.1 calories, 47.9g total carbs.",Baked Beans,True,False,True,False,{'fiber_min': 18.0},"{'calories': 111.1, 'fiber': 22.0}",[]
